OID,Asset_Group,Is_Connected,Install_Year,Diameter,Material,Avg_Kam_Avg,Max_Kam_Max,Min_Kam_Min,Avg_Kam_Count,Avg_Kam_NaN_Count,Max_Avg_gpm,Line_Length,Dist_to_Storage,Dist_to_Hydrant,Dist_to_PV,Dist_to_SV,Leak_Y_N
1227,1,1,0,6,83,0,0,0,0,0,0,8,4016,19,1167,0,0
7705,1,1,1958,24,83,0,0,0,0,0,0,3,4019,25,1167,8,0
7421,1,1,0,0,0,0,0,0,0,0,0,25,5446,284,1022,8,0
10993,1,1,1904,6,0,0,0,0,0,0,0,10,5468,284,1022,5,0
6936,1,1,0,6,0,0,0,0,0,0,0,17,773,17,2116,0,0
632,2,1,0,0,0,0,0,0,0,0,0,23,2334,126,3039,73,0
5947,2,0,0,0.75,0,0,0,0,0,0,0,3,4549,8,1071,13,0
6584,2,0,0,0.75,0,0,0,0,0,0,0,6,4545,10,1071,13,0
5064,2,1,0,0,0,0,0,0,0,0,0,4,2339,125,3041,73,0
1427,1,1,0,8,0,0,0,0,0,0,0,11,2334,119,3028,68,0
8391,1,1,1976,6,0,0,0,0,0,0,0,152,4932,15,1743,0,0
261,2,1,1976,6,0,0,0,0,0,0,0,15,1408,8,3048,3,0
2772,2,1,1976,6,0,0,0,0,0,0,0,8,1406,0,3049,10,0
6644,1,1,1976,12,0,0,0,0,0,0,0,5,1418,18,3046,0,0
9989,2,0,0,0.75,0,0,0,0,0,0,0,20,2811,155,4030,147,0
9921,2,1,2021,0.75,84,0,0,0,0,0,0,18,2156,278,861,299,0
7706,1,1,1958,24,83,0,0,0,0,0,0,28,3997,27,1170,3,0
166,1,1,2004,20,88,0,0,0,0,0,0,5,3909,53,1470,5,0
9761,1,1,2002,8,0,0,0,0,0,0,0,5,3904,53,1470,0,0
991,2,1,1965,0.75,84,0,0,0,0,0,0,5,2357,66,3878,81,0
8782,1,1,0,4,0,0,0,0,0,0,0,112,1704,164,3686,133,0
9731,1,1,2013,8,0,0,0,0,0,0,0,12,6564,77,1339,55,0
987,2,1,0,6,84,0,0,0,0,0,0,22,3931,15,1426,17,0
4477,1,0,0,8,0,0,0,0,0,0,0,36,4951,23,1670,29,0
10167,1,1,1947,6,0,8,16,5,144,9,0,9,3574,33,1752,78,0
226,1,1,0,4,0,0,0,0,0,0,0,246,5085,58,458,43,0
11219,1,1,1987,10,0,0,0,0,0,0,0,17,3931,38,1416,0,0
11211,1,1,1990,6,0,0,0,0,0,0,0,3,3292,34,273,0,0
10109,2,1,1999,6,0,0,0,0,0,0,0,13,2619,0,1921,61,0
564,2,1,0,0.75,0,0,0,0,0,0,0,3,2311,100,3273,33,0
7370,2,1,0,0.75,0,0,0,0,0,0,0,5,2120,227,3190,258,0
7291,2,1,0,0.75,84,0,0,0,0,0,0,1,3679,57,1506,64,0
7337,1,1,0,6,83,0,0,0,0,0,0,50,3680,57,1470,64,0
2223,1,1,1903,12,0,0,0,0,0,0,0,34,2400,157,3675,114,0
5890,2,0,1904,6,0,0,0,0,0,0,0,22,5475,287,1022,1,0
1521,2,1,1965,0.75,84,0,0,0,0,0,0,5,2361,65,3877,80,0
9272,2,1,0,0.75,0,0,0,0,0,0,0,3,2155,214,3156,296,0
3252,1,1,1985,6,88,0,0,0,0,0,0,48,836,148,1003,0,0
11863,1,1,1985,8,88,0,0,0,0,0,0,6,836,185,1044,6,0
7095,1,1,1909,6,0,0,0,0,0,0,0,16,1842,31,3845,0,0
167,1,1,2004,20,88,0,0,0,0,0,0,5,3904,58,1471,0,0
9249,2,1,0,0.75,84,0,0,0,0,0,0,13,3668,57,1507,64,0
3547,1,1,1965,8,0,21,36,8,153,0,0,3,2364,65,3875,80,0
7643,2,1,0,6,0,0,0,0,0,0,0,5,6489,70,1252,112,0
2608,2,1,1965,0.75,84,0,0,0,0,0,0,5,2359,69,3876,84,0
4343,2,0,1987,0.75,84,0,0,0,0,0,0,8,632,106,4691,134,0
4494,1,1,1999,6,0,0,0,0,0,0,0,23,2942,151,2080,134,0
208,1,1,1976,12,0,0,0,0,0,0,0,8,1422,20,3048,1,0
164,2,1,1957,0.75,84,0,0,0,0,0,0,12,3231,155,1422,165,0
3703,1,1,1957,6,0,0,0,0,0,0,0,2,3230,156,1433,165,0
3817,1,1,1985,6,88,0,0,0,0,0,0,6,836,183,1048,0,0
2757,1,1,0,10,0,0,0,0,0,0,0,14,945,39,4481,0,0
9563,1,1,1987,12,0,0,0,0,0,0,1,108,7185,24,1263,285,0
10467,1,1,1987,12,0,0,0,0,0,0,0,141,7185,14,1263,370,0
10071,2,1,0,0.75,0,0,0,0,0,0,0,9,2315,100,3264,27,0
11941,2,1,0,0.75,0,0,0,0,0,0,0,21,4575,63,1094,34,0
3702,1,1,1957,6,0,0,0,0,0,0,0,45,3221,158,1434,140,0
4064,2,0,1987,0.75,84,0,0,0,0,0,0,12,633,104,4692,134,0
10370,1,1,1917,8,0,0,0,0,0,0,0,5,4593,63,1092,35,0
7045,2,1,0,0.75,0,0,0,0,0,0,0,4,4572,66,1112,35,0
7208,1,1,1925,10,0,0,0,0,0,0,0,5,1921,61,2957,0,0
2587,1,1,1947,16,0,0,0,0,0,0,0,299,2992,30,11,3,0
11310,2,0,1966,0.75,0,0,0,0,0,0,0,11,2602,63,4147,54,0
2984,1,1,1927,6,0,0,0,0,0,0,0,33,1092,23,3551,278,0
9445,2,1,0,0.75,0,0,0,0,0,0,0,9,2125,227,3180,258,0
11731,1,1,2002,8,0,0,0,0,0,0,0,7,3897,55,1475,0,0
4627,2,1,1958,0.75,0,0,0,0,0,0,0,9,1845,141,4572,98,0
5891,2,0,1904,6,0,0,0,0,0,0,0,6,5470,289,1027,0,0
3150,2,1,0,0.75,0,0,0,0,0,0,0,25,6615,7,1053,67,0
7718,2,1,1965,0.75,84,0,0,0,0,0,0,5,2363,68,3875,83,0
8632,2,0,1954,1,0,0,0,0,0,0,0,10,2638,208,2823,111,0
3548,1,1,1965,8,0,21,36,8,153,0,0,41,2366,68,3836,71,0
10579,1,1,1985,6,88,0,0,0,0,0,0,18,835,180,1051,0,0
301,2,1,0,0.75,84,0,0,0,0,0,0,3,4038,171,2065,142,0
5921,1,1,0,8,88,0,0,0,0,0,0,43,4038,130,2029,142,0
2976,2,1,1957,0.75,84,6,8,6,153,0,0,3,3252,113,1408,123,0
1890,1,1,0,6,83,0,0,0,0,0,0,12,4009,13,1171,0,0
6834,1,1,1985,8,88,0,0,0,0,0,0,57,900,179,827,303,0
1567,2,1,0,0.75,0,0,0,0,0,0,0,21,2320,93,3242,16,0
5220,1,1,1909,6,0,0,0,0,0,0,0,7,2320,93,3262,22,0
1537,1,1,1908,6,0,0,0,0,0,0,0,51,2327,79,3195,0,0
960,2,0,0,6,0,0,0,0,0,0,0,9,5230,0,331,37,0
5568,1,1,1933,8,0,29,198,6,143,10,0,29,2464,90,4244,258,0
2296,2,1,1957,0.75,84,7,9,6,153,0,0,6,3198,226,1466,118,0
8313,1,1,1919,6,0,0,0,0,0,0,0,9,1295,12,3567,245,0
10718,1,1,1919,14,0,0,0,0,0,0,0,37,1678,26,4456,0,0
5715,1,1,1925,10,0,0,0,0,0,0,0,19,1926,65,2942,0,0
387,1,1,1938,12,0,0,0,0,0,0,2,34,3390,85,3296,5,0
3726,1,1,1999,0,0,0,0,0,0,0,0,103,2565,20,1468,63,0
10509,2,1,0,0.75,0,0,0,0,0,0,0,4,4571,61,1109,39,0
4011,2,1,1953,6,0,0,0,0,0,0,0,2,6089,2,985,17,0
9992,1,1,0,6,0,0,0,0,0,0,0,32,6089,4,986,0,0
302,2,1,0,0.75,84,0,0,0,0,0,0,0,4041,171,2065,142,0
628,2,1,0,0.75,84,0,0,0,0,0,0,11,4042,171,2060,142,0
8024,1,1,1999,0,0,0,0,0,0,0,0,15,2954,157,2088,127,0
525,2,1,1921,6,0,0,0,0,0,0,0,7,2456,8,3263,58,0
9371,1,1,1976,6,0,0,0,0,0,0,0,15,2461,15,3263,58,0
8871,1,0,0,4,0,10,13,9,153,0,0,151,4888,12,1701,6,0
5885,1,1,2004,20,88,0,0,0,0,0,0,14,3891,60,1477,0,0
776,1,1,1917,8,0,0,0,0,0,0,0,17,4567,15,1064,2,0
6705,2,1,0,6,0,0,0,0,0,0,0,11,4556,4,1064,16,0
5605,2,1,1972,6,0,0,0,0,0,0,0,6,1456,0,4220,15,0
2847,2,0,1987,0.75,84,0,0,0,0,0,0,9,627,102,4696,130,0
11165,2,1,1953,6,0,0,0,0,0,0,0,2,6090,0,983,14,0
10580,1,1,1985,6,88,0,0,0,0,0,0,66,820,180,1064,18,0
10966,2,1,1922,6,0,0,0,0,0,0,0,4,1006,0,2580,285,0
1391,2,1,0,0.75,0,0,0,0,0,0,0,20,4574,61,1092,39,0
10369,1,1,1917,8,0,0,0,0,0,0,0,27,4584,39,1076,17,0
3046,2,0,1954,1,0,0,0,0,0,0,0,19,2628,213,2820,116,0
656,1,1,1959,8,0,0,0,0,0,0,0,58,1610,23,3928,90,0
6113,2,1,1959,0.75,0,0,0,0,0,0,0,21,1610,55,3907,90,0
912,2,0,1987,0.75,84,0,0,0,0,0,0,12,629,99,4697,129,0
6028,2,1,0,6,0,0,0,0,0,0,0,4,4553,0,1074,18,0
10885,2,1,0,0.75,0,0,0,0,0,0,0,4,4570,61,1109,40,0
207,1,1,1976,12,0,0,0,0,0,0,0,3,1430,26,3052,1,0
1362,2,0,0,0.75,0,0,0,0,0,0,0,25,2789,153,4033,143,0
1428,1,1,0,8,0,0,0,0,0,0,0,26,2345,94,3003,46,0
5326,2,1,0,0,0,0,0,0,0,0,0,6,2344,119,3027,68,0
6741,2,1,1965,0.75,84,0,0,0,0,0,0,8,2422,77,3783,14,0
5587,1,1,2015,6,0,0,0,0,0,0,0,35,6345,184,1105,254,0
8204,2,1,0,0.75,84,14,22,6,127,26,0,4,3714,106,1463,114,0
6526,2,1,1947,0.75,84,0,0,0,0,0,0,10,3583,38,1744,86,0
10168,1,1,1947,6,0,8,16,5,144,9,0,10,3583,39,1744,86,0
1270,1,1,2013,48,88,0,0,0,0,0,0,59,6816,367,1731,340,0
